Date,Country,Product,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage,AgeBand
20210513,S92000003,Total,4549217,Dose 1,17445,0.383472584402986,2996778,65.8745889677279,16 years and over
20210513,S92000003,Total,"",Dose 2,23552,"",1597682,"",All vaccinations
20210513,S92000003,Total,4439078,Dose 2,23491,0.529186466198612,1596299,35.9601475801957,18 years and over
20210513,S92000003,Total,2875396,Dose 2,20029,0.696564925318113,1435769,49.9329135882501,40 years and over
20210513,S92000003,Total,4549217,Dose 2,23552,0.517715466200008,1597672,35.1197140079271,16 years and over
20210514,S92000003,AstraZeneca (Vaxzevria),"",Dose 1,12821,"",1957011,"",All vaccinations
20210514,S92000003,AstraZeneca (Vaxzevria),"",Dose 2,18482,"",812222,"",All vaccinations
20210514,S92000003,Moderna (Spikevax),"",Dose 1,49,"",17826,"",All vaccinations
20210514,S92000003,Moderna (Spikevax),"",Dose 2,0,"",8,"",All vaccinations
20210514,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 1,4936,"",1039803,"",All vaccinations
20210514,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 2,4596,"",808530,"",All vaccinations
20210514,S92000003,Total,"",Dose 1,17806,"",3014640,"",All vaccinations
20210514,S92000003,Total,4439078,Dose 1,17708,0.39891166589098,3007970,67.7611431923476,18 years and over
20210514,S92000003,Total,2875396,Dose 1,14578,0.506991037060634,2618000,91.0483286476019,40 years and over
20210514,S92000003,Total,4549217,Dose 1,17805,0.391386034124114,3014583,66.265975001852,16 years and over
20210514,S92000003,Total,"",Dose 2,23078,"",1620760,"",All vaccinations
20210514,S92000003,Total,4439078,Dose 2,23011,0.518373409973873,1619310,36.4785209901696,18 years and over
20210514,S92000003,Total,2875396,Dose 2,19199,0.667699336021891,1454968,50.600612924272,40 years and over
20210514,S92000003,Total,4549217,Dose 2,23078,0.507296090733856,1620750,35.6270100986609,16 years and over
20210515,S92000003,AstraZeneca (Vaxzevria),"",Dose 1,11706,"",1968717,"",All vaccinations
20210515,S92000003,AstraZeneca (Vaxzevria),"",Dose 2,17841,"",830063,"",All vaccinations
20210515,S92000003,Moderna (Spikevax),"",Dose 1,54,"",17880,"",All vaccinations
20210515,S92000003,Moderna (Spikevax),"",Dose 2,0,"",8,"",All vaccinations
20210515,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 1,5567,"",1045370,"",All vaccinations
20210515,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 2,2688,"",811218,"",All vaccinations
20210515,S92000003,Total,"",Dose 1,17327,"",3031967,"",All vaccinations
20210515,S92000003,Total,4439078,Dose 1,16559,0.373027912553012,3024529,68.1341711049006,18 years and over
20210515,S92000003,Total,2875396,Dose 1,13766,0.478751448496138,2631766,91.5270800960981,40 years and over
20210515,S92000003,Total,4549217,Dose 1,17327,0.380878731438839,3031910,66.6468537332908,16 years and over
20210515,S92000003,Total,"",Dose 2,20529,"",1641289,"",All vaccinations
20210515,S92000003,Total,4439078,Dose 2,20277,0.4567840438938,1639587,36.9353050340634,18 years and over
20210515,S92000003,Total,2875396,Dose 2,17008,0.59150113584355,1471976,51.1921140601156,40 years and over
20210515,S92000003,Total,4549217,Dose 2,20529,0.451264470347315,1641279,36.0782745690083,16 years and over
20210516,S92000003,AstraZeneca (Vaxzevria),"",Dose 1,10064,"",1978781,"",All vaccinations
20210516,S92000003,AstraZeneca (Vaxzevria),"",Dose 2,13749,"",843812,"",All vaccinations
20210516,S92000003,Moderna (Spikevax),"",Dose 1,57,"",17937,"",All vaccinations
20210516,S92000003,Moderna (Spikevax),"",Dose 2,0,"",8,"",All vaccinations
20210516,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 1,4184,"",1049554,"",All vaccinations
20210516,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 2,3089,"",814307,"",All vaccinations
20210516,S92000003,Total,"",Dose 1,14305,"",3046272,"",All vaccinations
20210516,S92000003,Total,4439078,Dose 1,14196,0.319796137846643,3038725,68.4539672427473,18 years and over
20210516,S92000003,Total,2875396,Dose 1,11877,0.41305614948341,2643643,91.9401362455815,40 years and over
20210516,S92000003,Total,4549217,Dose 1,14305,0.314449717390927,3046215,66.9613034506817,16 years and over
20210516,S92000003,Total,"",Dose 2,16838,"",1658127,"",All vaccinations
20210516,S92000003,Total,4439078,Dose 2,16518,0.372104297333816,1656105,37.3074093313972,18 years and over
20210516,S92000003,Total,2875396,Dose 2,13777,0.479134004498859,1485753,51.6712480646144,40 years and over
20210516,S92000003,Total,4549217,Dose 2,16838,0.370129628900974,1658117,36.4484041979092,16 years and over
20210517,S92000003,AstraZeneca (Vaxzevria),"",Dose 1,5635,"",1984416,"",All vaccinations
20210517,S92000003,AstraZeneca (Vaxzevria),"",Dose 2,28489,"",872301,"",All vaccinations
20210517,S92000003,Moderna (Spikevax),"",Dose 1,66,"",18003,"",All vaccinations
20210517,S92000003,Moderna (Spikevax),"",Dose 2,0,"",8,"",All vaccinations
20210517,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 1,3715,"",1053269,"",All vaccinations
20210517,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 2,3521,"",817828,"",All vaccinations
