Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,PositivePillar1,PositivePillar2
20200229,S12000041,Angus,0,1,0.8634087376964255,,0,0,0,0,26,22.44862718010706,0,0,0,,0,0,0,0
20200229,S12000042,Dundee City,0,0,0,,0,0,0,1,20,13.439053890606102,1,0,0,,1,0,0,0
20200229,S12000045,East Dunbartonshire,0,0,0,,0,0,0,4,13,11.954022988505747,6,0,0,,6,0,0,0
20200229,S12000047,Fife,0,0,0,,0,0,0,5,68,18.175500494480527,5,0,0,,5,0,0,0
20200229,S12000048,Perth and Kinross,0,0,0,,0,0,0,0,27,17.77368178526759,0,0,0,,0,0,0,0
20200229,S12000049,Glasgow City,0,0,0,,0,0,0,11,73,11.484488075011011,20,0,0,,20,0,0,0
20200229,S12000050,North Lanarkshire,0,0,0,,0,0,0,3,37,10.845986984815617,6,0,0,,6,0,0,0
20200301,S12000005,Clackmannanshire,1,1,1.9496977968414897,,0,0,0,1,13,25.346071358939362,2,1,50,,2,0,1,0
20200301,S12000006,Dumfries and Galloway,0,0,0,,0,0,0,4,29,19.556274866815023,4,0,0,,4,0,0,0
20200301,S12000008,East Ayrshire,0,0,0,,0,0,0,4,13,10.69078947368421,4,0,0,,4,0,0,0
20200301,S12000010,East Lothian,0,0,0,,0,0,0,1,15,13.901760889712696,1,0,0,,1,0,0,0
20200301,S12000011,East Renfrewshire,0,0,0,,0,0,0,4,8,8.328128253175098,4,0,0,,4,0,0,0
20200301,S12000014,Falkirk,0,0,0,,0,0,0,1,33,20.553064275037368,1,0,0,,1,0,0,0
20200301,S12000017,Highland,0,0,0,,0,0,0,0,29,12.317886420592108,0,0,0,,0,0,0,0
20200301,S12000018,Inverclyde,0,0,0,,0,0,0,3,13,16.869971450817545,3,0,0,,3,0,0,0
20200301,S12000019,Midlothian,0,0,0,,0,0,0,1,12,12.88244766505636,2,0,0,,2,0,0,0
20200301,S12000020,Moray,1,1,1.0448229025180231,,0,0,0,1,14,14.627520635252324,3,1,33.33333333333333,,3,0,1,0
20200301,S12000021,North Ayrshire,0,0,0,,0,0,0,2,18,13.40782122905028,2,0,0,,2,0,0,0
20200301,S12000023,Orkney Islands,0,0,0,,0,0,0,0,6,26.78571428571429,0,0,0,,0,0,0,0
20200301,S12000026,Scottish Borders,0,0,0,,0,0,0,2,29,25.16487330787921,3,0,0,,3,0,0,0
20200301,S12000028,South Ayrshire,0,0,0,,0,0,0,1,5,4.458712323880864,1,0,0,,1,0,0,0
20200301,S12000029,South Lanarkshire,0,0,0,,0,0,0,3,27,8.415934168692726,3,0,0,,3,0,0,0
20200301,S12000030,Stirling,0,0,0,,0,0,0,0,24,25.510204081632654,3,0,0,,3,0,0,0
20200301,S12000033,Aberdeen City,0,0,0,,0,0,0,3,33,14.406705666637562,3,0,0,,3,0,0,0
20200301,S12000034,Aberdeenshire,0,0,0,,0,0,0,0,35,13.421274637625585,1,0,0,,1,0,0,0
20200301,S12000035,Argyll and Bute,0,0,0,,0,0,0,0,3,3.511646962425377,1,0,0,,1,0,0,0
20200301,S12000036,City of Edinburgh,0,0,0,,0,0,0,11,130,24.638944695045677,13,0,0,,13,0,0,0
20200301,S12000038,Renfrewshire,0,0,0,,0,0,0,6,23,12.821227493171303,6,0,0,,6,0,0,0
20200301,S12000039,West Dunbartonshire,0,0,0,,0,0,0,1,11,12.451890423364274,1,0,0,,1,0,0,0
20200301,S12000040,West Lothian,0,0,0,,0,0,0,2,30,16.32031335001632,2,0,0,,2,0,0,0
20200301,S12000041,Angus,0,1,0.8634087376964255,,0,0,0,3,29,25.03885339319634,3,0,0,,3,0,0,0
20200301,S12000042,Dundee City,0,0,0,,0,0,0,0,20,13.439053890606102,0,0,0,,0,0,0,0
20200301,S12000045,East Dunbartonshire,0,0,0,,0,0,0,2,15,13.793103448275863,2,0,0,,2,0,0,0
20200301,S12000047,Fife,0,0,0,,0,0,0,1,69,18.442787266458183,2,0,0,,2,0,0,0
20200301,S12000048,Perth and Kinross,0,0,0,,0,0,0,0,27,17.77368178526759,0,0,0,,0,0,0,0
20200301,S12000049,Glasgow City,0,0,0,,0,0,0,9,82,12.900383865080864,12,0,0,,12,0,0,0
20200301,S12000050,North Lanarkshire,0,0,0,,0,0,0,4,41,12.018526118309198,6,0,0,,6,0,0,0
20200302,S12000005,Clackmannanshire,0,1,1.9496977968414897,,0,0,0,3,16,31.195164749463835,4,0,0,,4,0,0,0
20200302,S12000006,Dumfries and Galloway,0,0,0,,0,0,0,11,40,26.97417223008969,13,0,0,,13,0,0,0
20200302,S12000008,East Ayrshire,0,0,0,,0,0,0,0,13,10.69078947368421,1,0,0,,1,0,0,0
20200302,S12000010,East Lothian,0,0,0,,0,0,0,4,19,17.608897126969417,6,0,0,,6,0,0,0
20200302,S12000011,East Renfrewshire,0,0,0,,0,0,0,2,10,10.410160316468874,3,0,0,,3,0,0,0
20200302,S12000014,Falkirk,0,0,0,,0,0,0,4,37,23.044344793223715,5,0,0,,5,0,0,0
20200302,S12000017,Highland,0,0,0,,0,0,0,2,31,13.167395828908804,3,0,0,,3,0,0,0
20200302,S12000018,Inverclyde,0,0,0,,0,0,0,2,15,19.465351674020244,4,0,0,,4,0,0,0
20200302,S12000019,Midlothian,0,0,0,,0,0,0,3,15,16.10305958132045,7,0,0,,7,0,0,0
20200302,S12000020,Moray,0,1,1.0448229025180231,,0,0,0,1,15,15.672343537770347,1,0,0,,1,0,0,0
20200302,S12000021,North Ayrshire,1,1,0.74487895716946,,0,0,0,4,22,16.387337057728118,5,1,20,,5,0,1,0
20200302,S12000023,Orkney Islands,0,0,0,,0,0,0,0,6,26.78571428571429,0,0,0,,0,0,0,0
20200302,S12000026,Scottish Borders,0,0,0,,0,0,0,3,32,27.768136063866717,3,0,0,,3,0,0,0
20200302,S12000028,South Ayrshire,0,0,0,,0,0,0,3,8,7.1339397182093816,4,0,0,,4,0,0,0
20200302,S12000029,South Lanarkshire,0,0,0,,0,0,0,14,41,12.779751885792656,19,0,0,,19,0,0,0
20200302,S12000030,Stirling,0,0,0,,0,0,0,7,31,32.95068027210884,12,0,0,,12,0,0,0
20200302,S12000033,Aberdeen City,0,0,0,,0,0,0,10,43,18.77237405046713,11,0,0,,11,0,0,0
20200302,S12000034,Aberdeenshire,0,0,0,,0,0,0,6,41,15.722064575504255,6,0,0,,6,0,0,0
20200302,S12000035,Argyll and Bute,0,0,0,,0,0,0,0,3,3.511646962425377,0,0,0,,0,0,0,0
20200302,S12000036,City of Edinburgh,0,0,0,,0,0,0,29,159,30.135324665478944,32,0,0,,32,0,0,0
20200302,S12000038,Renfrewshire,0,0,0,,0,0,0,10,33,18.395674229332737,12,0,0,,12,0,0,0
20200302,S12000039,West Dunbartonshire,0,0,0,,0,0,0,5,16,18.11184061580258,6,0,0,,6,0,0,0
20200302,S12000040,West Lothian,0,0,0,,0,0,0,4,34,18.496355130018497,5,0,0,,5,0,0,0
20200302,S12000041,Angus,0,1,0.8634087376964255,,0,0,0,3,32,27.629079606285615,12,3,25,,12,0,3,0
20200302,S12000042,Dundee City,0,0,0,,0,0,0,2,22,14.782959279666713,2,0,0,,2,0,0,0
20200302,S12000045,East Dunbartonshire,0,0,0,,0,0,0,6,21,19.310344827586206,9,0,0,,9,0,0,0
20200302,S12000047,Fife,0,0,0,,0,0,0,13,82,21.917515302167697,14,0,0,,14,0,0,0
20200302,S12000048,Perth and Kinross,0,0,0,,0,0,0,1,28,18.43196629583306,5,0,0,,5,0,0,0
20200302,S12000049,Glasgow City,0,0,0,,0,0,0,31,113,17.777358253099237,46,0,0,,46,0,0,0
20200302,S12000050,North Lanarkshire,0,0,0,,0,0,0,9,50,14.656739168669754,13,0,0,,13,0,0,0
20200303,S12000005,Clackmannanshire,1,2,3.8993955936829794,,0,0,0,3,19,37.0442581399883,4,1,25,,4,0,1,0
20200303,S12000006,Dumfries and Galloway,0,0,0,,0,0,0,6,46,31.020298064603143,10,0,0,,10,0,0,0
20200303,S12000008,East Ayrshire,0,0,0,,0,0,0,5,18,14.80263157894737,5,0,0,,5,0,0,0
20200303,S12000010,East Lothian,0,0,0,,0,0,0,3,22,20.389249304911957,3,0,0,,3,0,0,0
20200303,S12000011,East Renfrewshire,0,0,0,,0,0,0,1,11,11.45117634811576,2,0,0,,2,0,0,0
20200303,S12000013,Na h-Eileanan Siar,0,0,0,,0,0,0,1,1,3.7735849056603774,1,0,0,,1,0,0,0
20200303,S12000014,Falkirk,0,0,0,,0,0,0,13,50,31.14100647732935,21,0,0,,21,0,0,0
20200303,S12000017,Highland,0,0,0,,0,0,0,3,34,14.441659941383852,4,0,0,,4,0,0,0
20200303,S12000018,Inverclyde,0,0,0,,0,0,0,3,18,23.358422008824295,3,0,0,,3,0,0,0
20200303,S12000019,Midlothian,0,0,0,,0,0,0,12,27,28.985507246376812,12,0,0,,12,0,0,0
20200303,S12000020,Moray,0,1,1.0448229025180231,,0,0,0,1,16,16.71716644028837,1,0,0,,1,0,0,0
20200303,S12000021,North Ayrshire,0,1,0.74487895716946,,0,0,0,4,26,19.366852886405958,6,0,0,,6,0,0,0
20200303,S12000023,Orkney Islands,0,0,0,,0,0,0,1,7,31.25,1,0,0,,1,0,0,0
20200303,S12000026,Scottish Borders,0,0,0,,0,0,0,2,34,29.50364456785838,2,0,0,,2,0,0,0
20200303,S12000028,South Ayrshire,0,0,0,,0,0,0,7,15,13.37613697164259,7,0,0,,7,0,0,0
20200303,S12000029,South Lanarkshire,0,0,0,,0,0,0,19,60,18.70207593042828,21,0,0,,21,0,0,0
20200303,S12000030,Stirling,0,0,0,,0,0,0,0,31,32.95068027210884,0,0,0,,0,0,0,0
20200303,S12000033,Aberdeen City,0,0,0,,0,0,0,3,46,20.082074565615997,5,0,0,,5,0,0,0
20200303,S12000034,Aberdeenshire,1,1,0.3834649896464453,,0,0,0,6,47,18.022854513382928,8,1,12.5,,8,0,1,0
20200303,S12000035,Argyll and Bute,0,0,0,,0,0,0,5,8,9.364391899801007,6,0,0,,6,0,0,0
20200303,S12000036,City of Edinburgh,0,0,0,,0,0,0,20,179,33.92593154163981,22,0,0,,22,0,0,0
20200303,S12000038,Renfrewshire,0,0,0,,0,0,0,2,35,19.510563576565026,3,0,0,,3,0,0,0
20200303,S12000039,West Dunbartonshire,1,1,1.1319900384876613,,0,0,0,6,22,24.903780846728548,12,2,16.666666666666664,,12,0,2,0
20200303,S12000040,West Lothian,0,0,0,,0,0,0,9,43,23.392449135023394,10,0,0,,10,0,0,0
20200303,S12000041,Angus,0,1,0.8634087376964255,,0,0,0,2,34,29.355897081678467,9,2,22.22222222222222,,9,0,2,0
20200303,S12000042,Dundee City,0,0,0,,0,0,0,7,29,19.486628141378844,13,0,0,,13,0,0,0
