Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
20200302,S08000022,NHS Highland,0,0,0,,0,0,0,2,37,11.531509069376051,3,0,0,,3,0,,:,,:,0,0
20200302,S08000024,NHS Lothian,0,0,0,,0,0,0,40,236,25.863297132023362,50,0,0,,50,0,,:,,:,0,0
20200302,S08000025,NHS Orkney,0,0,0,,0,0,0,0,4,17.857142857142858,0,0,0,,0,0,,:,,:,0,0
20200302,S08000029,NHS Fife,0,0,0,,0,0,0,13,81,21.65022853019004,14,0,0,,14,0,,:,,:,0,0
20200302,S08000030,NHS Tayside,0,1,0.24006721882126994,,0,0,0,6,91,21.846116912735564,19,3,15.789473684210526,,19,0,,:,,:,3,0
20200302,S08000031,NHS Greater Glasgow and Clyde,0,0,0,,0,0,0,56,210,17.71793054571226,80,0,0,,80,0,,:,,:,0,0
20200302,S08000032,NHS Lanarkshire,0,0,0,,0,0,0,24,95,14.351320321469576,33,0,0,,33,0,,:,,:,0,0
20200302,S92000003,Scotland,1,4,0.07317965605561653,,0,0,0,193,1066,19.502378338821806,264,4,1.5151515151515151,,264,0,11,"",,:,4,0
20200303,S08000015,NHS Ayrshire and Arran,0,1,0.27174651485094703,,0,0,0,17,62,16.848283920758718,19,0,0,,19,0,,:,,:,0,0
20200303,S08000016,NHS Borders,0,0,0,,0,0,0,2,34,29.50364456785838,2,0,0,,2,0,,:,,:,0,0
20200303,S08000017,NHS Dumfries and Galloway,0,0,0,,0,0,0,6,46,31.020298064603143,10,0,0,,10,0,,:,,:,0,0
20200303,S08000019,NHS Forth Valley,1,2,0.6537443205962148,,0,0,0,16,100,32.68721602981074,25,1,4,,25,0,,:,,:,1,0
20200303,S08000020,NHS Grampian,1,2,0.3415592178293912,,0,0,0,10,121,20.664332678678168,15,1,6.666666666666667,,15,0,,:,,:,1,0
20200303,S08000022,NHS Highland,0,0,0,,0,0,0,8,45,14.024808327619523,10,0,0,,10,0,,:,,:,0,0
20200303,S08000024,NHS Lothian,0,0,0,,0,0,0,45,281,30.79485802584138,48,0,0,,48,0,,:,,:,0,0
20200303,S08000025,NHS Orkney,0,0,0,,0,0,0,1,5,22.32142857142857,1,0,0,,1,0,,:,,:,0,0
20200303,S08000028,NHS Western Isles,0,0,0,,0,0,0,1,1,3.7735849056603774,1,0,0,,1,0,,:,,:,0,0
20200303,S08000029,NHS Fife,0,0,0,,0,0,0,11,92,24.590383021944245,13,0,0,,13,0,,:,,:,0,0
20200303,S08000030,NHS Tayside,0,1,0.24006721882126994,,0,0,0,19,110,26.407394070339695,37,2,5.405405405405405,,37,0,,:,,:,2,0
20200303,S08000031,NHS Greater Glasgow and Clyde,1,1,0.08437109783672504,,0,0,0,53,263,22.189598731058688,72,2,2.7777777777777777,,72,0,,:,,:,2,0
20200303,S08000032,NHS Lanarkshire,0,0,0,,0,0,0,26,121,18.279050093661247,35,0,0,,35,0,,:,,:,0,0
20200303,S92000003,Scotland,3,7,0.12806439809732895,,0,0,0,215,1281,23.435784851811196,288,6,2.083333333333333,,288,0,13,"",,:,6,0
20200304,S08000015,NHS Ayrshire and Arran,0,1,0.27174651485094703,,0,0,0,10,72,19.565749069268186,15,1,6.666666666666667,,15,0,,:,,:,1,0
20200304,S08000016,NHS Borders,0,0,0,,0,0,0,3,37,32.10690732384589,3,0,0,,3,0,,:,,:,0,0
20200304,S08000017,NHS Dumfries and Galloway,0,0,0,,0,0,0,9,55,37.089486816373324,11,0,0,,11,0,,:,,:,0,0
20200304,S08000019,NHS Forth Valley,1,3,0.9806164808943222,,0,0,0,18,118,38.57091491517668,33,4,12.121212121212121,,33,0,,:,,:,4,0
20200304,S08000020,NHS Grampian,2,4,0.6831184356587824,,0,0,0,5,126,21.518230723251644,7,2,28.57142857142857,,7,0,,:,,:,2,0
20200304,S08000022,NHS Highland,0,0,0,,0,0,0,8,53,16.518107585862992,8,0,0,,8,0,,:,,:,0,0
20200304,S08000024,NHS Lothian,1,1,0.10959024208484476,,0,0,0,27,308,33.753794562132185,33,1,3.0303030303030303,,33,0,,:,,:,1,0
20200304,S08000025,NHS Orkney,0,0,0,,0,0,0,0,5,22.32142857142857,0,0,0,,0,0,,:,,:,0,0
20200304,S08000026,NHS Shetland,0,0,0,,0,0,0,1,1,4.3725404459991255,1,0,0,,1,0,,:,,:,0,0
20200304,S08000028,NHS Western Isles,0,0,0,,0,0,0,1,2,7.547169811320755,1,0,0,,1,0,,:,,:,0,0
20200304,S08000029,NHS Fife,2,2,0.5345735439553096,,0,0,0,1,93,24.857669793921897,3,2,66.66666666666666,,3,0,,:,,:,2,0
20200304,S08000030,NHS Tayside,0,1,0.24006721882126994,,0,0,0,10,120,28.808066258552394,22,0,0,,22,0,,:,,:,0,0
20200304,S08000031,NHS Greater Glasgow and Clyde,0,1,0.08437109783672504,,0,0,0,66,329,27.758091188282542,92,0,0,,92,0,,:,,:,0,0
20200304,S08000032,NHS Lanarkshire,0,0,0,,0,0,0,19,140,21.149314157955164,26,0,0,,26,0,,:,,:,0,0
20200304,S92000003,Scotland,6,13,0.23783388218075374,,0,0,0,178,1459,26.692279546286134,255,10,3.9215686274509802,,255,0,10,"",,:,10,0
20200305,S08000015,NHS Ayrshire and Arran,0,1,0.27174651485094703,0.27174651485094703,0,0,0,15,87,23.641946792032392,17,0,0,2.4691358024691357,17,0,,:,,:,0,0
20200305,S08000016,NHS Borders,0,0,0,0,0,0,0,1,38,32.97466157584172,1,0,0,0,1,0,,:,,:,0,0
20200305,S08000017,NHS Dumfries and Galloway,0,0,0,0,0,0,0,6,61,41.13561265088678,6,0,0,0,6,0,,:,,:,0,0
20200305,S08000019,NHS Forth Valley,0,3,0.9806164808943222,0.9806164808943222,0,0,0,14,132,43.14712515935018,18,0,0,4.37956204379562,18,0,,:,,:,0,0
20200305,S08000020,NHS Grampian,0,4,0.6831184356587824,0.6831184356587824,0,0,0,5,131,22.37212876782512,15,2,13.333333333333334,8.21917808219178,15,0,,:,,:,2,0
20200305,S08000022,NHS Highland,0,0,0,0,0,0,0,9,62,19.323069251386897,11,0,0,0,11,0,,:,,:,0,0
